order	sample_id	group	observed_label	fold
1	GTEX-13CF3-2326-SM-5IFGL	GTEx	0.00825343479100969	2
2	GTEX-OXRK-0326-SM-3NB3R	GTEx	0.00431737610036399	2
3	GTEX-ZVT2-2226-SM-5NQ6P	GTEx	-0.00179351470477322	2
4	GTEX-U3ZN-2626-SM-3DB7T	GTEx	-0.00432603556520347	3
5	GTEX-U4B1-1726-SM-3DB9F	GTEx	-3.63200863725353e-05	4
6	GTEX-PWCY-1926-SM-3NB25	GTEx	0.00953693490786078	1
7	GTEX-Y5V5-2426-SM-5IFJA	GTEx	0.00542692451140753	4
8	GTEX-Q2AI-1426-SM-2S1P5	GTEx	0.00424686587891745	1
9	GTEX-12KS4-0426-SM-5EQMC	GTEx	-0.00406636640122441	1
10	GTEX-T6MN-0226-SM-32PMD	GTEx	0.0230307588239149	5
11	GTEX-147F3-0626-SM-5NQ9I	GTEx	-0.00773551807832297	3
12	GTEX-OXRN-0226-SM-2I5EJ	GTEx	0.0111941875053139	2
13	GTEX-YFC4-0226-SM-57WD2	GTEx	0.00356118041744579	3
14	GTEX-12ZZX-0226-SM-5DUXU	GTEx	0.0212767906563809	5
15	GTEX-ZP4G-2326-SM-57WEM	GTEx	-0.00274378209327212	3
16	GTEX-ZZ64-1626-SM-5E43W	GTEx	-0.00310563073231512	4
17	GTEX-ZVTK-0526-SM-5GZWT	GTEx	-0.00154832920752821	1
18	GTEX-QLQW-1226-SM-2S1Q9	GTEx	0.0135262816372066	3
19	GTEX-13QJ3-0426-SM-5RQHP	GTEx	-1.35884170966143e-05	5
20	GTEX-ZAJG-0226-SM-5HL81	GTEx	0.00146055931705746	2
21	GTEX-ZE7O-0226-SM-5S2N1	GTEx	-0.00400382088214373	1
22	GTEX-13111-1726-SM-5EGJZ	GTEx	-0.00494832534835513	1
23	GTEX-13G51-2626-SM-5LZYW	GTEx	0.00271119728355859	1
24	GTEX-VUSG-2426-SM-4KKZG	GTEx	0.00778717467676083	4
25	GTEX-ZUA1-0226-SM-5NQ9Q	GTEx	-0.000775516241320591	4
26	GTEX-OXRP-0226-SM-3NB14	GTEx	0.00576055059966874	3
27	GTEX-OOBK-0226-SM-2YUMF	GTEx	0.00737505483054756	4
28	GTEX-12C56-1626-SM-5FQUO	GTEx	-0.0050577474689647	3
29	GTEX-13VXU-0226-SM-5SI9R	GTEx	0.00030603632242375	5
30	GTEX-OOBJ-0226-SM-2YUMM	GTEx	-0.00443020833893789	3
31	GTEX-TML8-2026-SM-32QOP	GTEx	0.00732686408498429	5
32	GTEX-11DXW-0326-SM-5H11W	GTEx	-0.00184018773812634	3
33	GTEX-R55D-0326-SM-48FES	GTEx	0.00135499844115112	1
34	GTEX-1211K-2226-SM-5FQU6	GTEx	-0.00759577144672431	5
35	GTEX-13NZ9-0526-SM-5J1OX	GTEx	0.0110880008128056	1
36	GTEX-X4LF-1726-SM-3NMBZ	GTEx	0.00118484427674771	1
37	GTEX-S32W-2226-SM-2XCAY	GTEx	-0.00294306285720961	4
38	GTEX-13QBU-2526-SM-5LU4X	GTEx	0.00754179539126971	5
39	GTEX-14BMV-0226-SM-5S2N2	GTEx	0.0013022220501573	4
40	GTEX-13FTY-0626-SM-5L3F8	GTEx	-0.00415820249842951	4
41	GTEX-XUZC-1826-SM-4BRVO	GTEx	0.000737815902480026	1
42	GTEX-12WSM-0226-SM-5LZV6	GTEx	-0.00772220572112537	2
43	GTEX-11ZVC-2626-SM-5FQTA	GTEx	-0.00433129995032657	3
44	GTEX-146FR-1826-SM-5QGPF	GTEx	-0.0123056014152403	3
